0,-2.26,0.24,0.64,-1.74,0.16,1.52,0.71,1.8,-1.77,-0.55,-1.58,0.32,-1.68,-6.58,1.13,0.78,-0.94,1.29,0.26,0.09,-2.8,0.17,0.44,-3.12,0.45,-2.67,-9.98,0.41,-4.56,2.33,-0.52,3.23,-1.01,0.61,1.83,-3.49,1.55,-3.05,-0.1,0.42,1.57,0.21,-3.39,6.8,-2.09,-0.81,-0.1,-1.85,-0.84,4.0,1.62,1.7,-0.69,-0.89,-0.6,0.0,0.2,-2.3,-3.69,-1.06,-0.43,2.48,-2.1,1.83,0.0,-0.63,0.32,-1.8,0.97,-1.5,1.63,0.53,-1.27,1.4,0.53,1.38,-0.84,-0.84,-1.7,0.0,0.22,0.76,-1.39,0.11
1,-1.45,1.28,0.54,-0.72,-0.91,0.0,1.65,-0.72,-0.54,-1.64,-0.93,-0.56,-0.19,-2.45,0.58,-0.38,0.58,0.19,-0.57,-0.38,-4.05,-1.0,0.2,-1.21,0.61,-0.41,-8.96,3.14,-0.87,1.53,0.22,0.43,-0.86,-0.43,1.52,-2.35,1.76,-0.86,-2.61,-1.79,1.59,0.45,-1.56,2.94,0.0,-0.44,0.22,0.0,-2.64,9.96,-0.41,1.24,-1.23,-0.84,1.48,1.04,1.03,-3.88,0.64,-0.42,-0.42,2.13,-1.25,1.05,-0.42,-2.51,-0.64,-2.16,-0.44,-2.22,1.58,-0.22,-0.45,0.9,0.0,2.0,-0.22,-0.66,-1.1,-1.33,0.68,2.24,-1.97,0.67
2,-1.2,-0.91,1.37,1.43,0.59,-0.59,0.82,0.37,-2.13,-0.23,-0.07,10.0,0.68,-1.63,4.21,-2.98,2.53,3.06,-1.03,-2.87,-0.34,-0.88,3.06,-3.83,-3.09,-2.55,-10.03,3.8,-3.5,1.85,1.66,1.25,-2.62,-2.61,2.35,0.16,0.87,-1.8,-1.44,0.41,2.42,1.03,-2.27,2.65,1.33,-1.93,-0.71,-0.87,-0.4,0.88,-0.08,3.5,10.0,-4.2,0.15,-2.92,0.68,-2.76,-2.15,0.94,-1.4,4.33,-3.02,2.8,1.06,0.0,0.3,-2.31,4.51,-2.34,0.0,0.38,-1.12,-0.76,1.14,0.75,-1.42,-0.45,-1.45,-1.31,0.62,1.09,-0.85,0.47
3,-0.72,-2.32,1.59,-2.19,1.15,-1.13,1.0,-0.4,-2.33,-1.83,-1.45,-0.1,-0.21,-4.95,0.89,-0.88,0.44,2.54,0.27,-2.04,-2.79,-0.45,0.0,-1.24,-0.17,-0.12,-9.99,-0.19,-6.01,1.02,-0.14,3.84,-0.91,-0.59,4.42,-3.16,3.39,-2.58,-1.04,1.05,1.88,-0.57,-8.82,3.15,0.61,1.28,1.27,-1.91,-1.48,2.79,2.39,1.49,-0.32,0.19,-3.83,-2.39,0.07,-2.52,-4.95,-1.54,-2.31,3.97,-1.1,4.67,0.85,1.9,-1.24,-2.93,1.08,-2.28,9.98,3.11,-4.5,0.94,0.73,4.1,-1.27,0.06,-4.89,-0.27,1.15,3.08,-0.46,2.55
4,-2.01,-0.26,2.23,-1.09,-0.42,0.34,1.1,0.84,-1.75,-1.61,-2.15,-1.76,-0.27,-6.02,1.34,-1.13,2.48,1.77,0.09,-1.46,-1.3,-4.1,2.13,-4.7,1.46,-2.16,-7.55,3.39,-3.08,3.38,-0.96,0.39,-0.39,-0.19,6.03,-1.83,2.43,-2.37,-2.99,0.19,1.15,0.38,-3.79,10.04,-0.89,0.36,0.54,0.18,-2.5,1.1,1.99,3.2,-0.69,0.52,-1.9,-0.53,-0.53,-1.07,-3.41,-0.56,-0.19,2.43,-0.55,5.15,-0.17,0.17,-1.4,-2.48,-1.46,-0.55,0.74,0.37,-0.73,0.18,-0.18,1.66,0.55,-3.07,-0.19,-2.06,1.53,0.19,-1.88,1.53
5,-0.63,-3.19,1.86,-2.91,4.1,-0.21,1.81,0.42,-2.4,0.11,-2.48,-0.66,-1.78,-5.89,2.53,1.17,-0.93,9.95,-1.49,0.76,-3.22,-2.33,2.16,-4.22,1.16,-5.85,-9.99,0.81,-4.83,2.26,0.14,1.93,-1.35,-0.96,3.6,-0.94,2.43,-2.24,-3.9,2.66,1.5,0.81,-3.73,2.49,0.54,1.07,0.4,0.93,-0.79,1.46,0.39,1.56,-0.77,0.77,-1.41,-1.95,1.98,-2.33,-2.92,-1.37,-1.53,2.39,-0.55,2.49,0.27,1.61,0.53,-2.24,-1.21,-0.82,2.06,4.31,0.26,2.06,0.25,-1.39,-1.41,-3.11,-2.27,-0.14,0.14,1.37,-2.83,0.42
6,-1.1,-1.3,2.06,0.18,-0.92,0.37,0.92,0.37,-1.27,0.0,-1.84,-1.13,-0.57,-4.59,1.4,-0.99,-0.4,1.8,-0.79,-0.99,-3.01,-1.45,0.84,-2.09,-1.28,-0.87,-9.61,1.69,-2.38,2.68,-1.19,2.16,-0.23,-0.23,2.12,-1.39,0.23,-2.1,-1.91,-0.24,2.68,0.24,-2.13,2.91,1.65,0.0,0.69,-0.46,-1.85,1.65,1.16,1.14,1.13,0.45,-2.0,0.46,0.23,-2.71,-3.71,0.24,-0.72,4.84,0.0,1.16,0.0,-0.46,0.46,-0.91,0.0,-3.46,-0.24,1.44,-1.18,0.24,-0.95,1.92,0.0,-0.94,-0.48,-1.2,-0.24,1.21,-1.2,3.4
7,-1.51,-1.47,1.49,-2.66,-0.14,-0.94,2.83,0.28,0.92,-2.44,-4.36,-1.49,0.23,-0.98,-0.77,-4.32,0.97,2.55,-0.62,-1.8,0.08,-2.55,1.47,0.65,1.13,1.12,-5.12,-0.66,-8.29,0.46,-2.72,2.8,0.54,-1.8,6.34,-1.55,5.09,-1.84,-3.06,2.1,2.06,-0.42,-5.25,5.55,0.59,1.51,0.58,-1.4,-1.59,1.7,1.0,1.24,-0.33,-2.46,-0.08,-3.04,-0.52,-1.66,-3.2,-2.48,-0.28,4.25,-2.63,3.81,0.63,1.51,-1.75,-2.23,-1.0,-0.28,2.13,0.0,-1.45,1.56,-1.18,2.11,-0.27,-1.08,-2.46,-0.56,-0.38,1.6,-2.96,0.38
8,-2.71,-0.79,6.2,-1.12,1.59,-1.24,4.0,1.6,-2.37,1.01,5.04,-2.48,-3.48,-10.0,2.16,-0.48,1.15,3.06,0.64,-2.83,-0.78,1.79,-1.8,-3.15,0.63,-6.78,-10.02,1.93,-6.36,1.79,2.48,2.8,-0.42,-0.73,3.81,-2.09,2.5,-5.38,-2.6,2.61,3.03,2.58,-2.66,10.0,-3.54,-0.15,-0.65,-1.5,0.51,1.72,0.05,0.79,-2.22,-1.96,0.56,-4.34,-0.05,-2.62,-2.91,-3.79,-4.76,5.24,-3.16,2.06,1.13,0.82,0.0,-3.08,-0.24,-2.46,1.48,1.15,-2.4,1.17,-1.28,2.28,3.25,-2.33,-2.51,-1.72,-3.87,0.58,-1.61,1.57
9,0.76,-1.34,-0.09,0.0,-0.6,1.11,-0.17,0.34,0.0,-0.68,0.17,-2.72,-5.15,-10.04,-10.03,-10.01,5.82,-2.03,-1.71,-1.74,-1.77,-0.39,-1.68,8.92,-4.82,0.38,0.76,-3.5,-4.54,-8.97,-0.9,-0.3,-0.3,0.0,1.67,7.15,0.42,4.57,0.66,4.61,4.28,7.6,-6.17,3.11,3.13,0.56,4.58,0.53,4.57,-0.3,-1.73,-1.87,4.23,6.19,2.67,0.28,-3.8,4.82,-10.03,3.58,-0.99,-1.59,-3.75,-1.37,6.94,8.18,0.28,-0.37,3.23,4.65,4.27,4.92,1.56,-10.0,-10.0,-9.97,-10.02,-1.52,-8.1,-6.35,6.92,6.34,-2.07,0.25
